artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Magnet,Magnet,nan,0,10.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,S,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,M,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,L,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,XL,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,2XL,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,50th Anniversary Tour Date T-Shirt 2025,T-Shirt,3XL,0,20.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,White Logo Tee,T-Shirt,3XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,S,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,M,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,L,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,2XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,3XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Kangaroo Hoodie 2023,Pullover Hoodie,4XL,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Retro Grey T-Shirt,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Retro Grey T-Shirt,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Retro Grey T-Shirt,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Retro Grey T-Shirt,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Retro Grey T-Shirt,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,2024 Tour Koala T-Shirt,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,2024 Tour Koala T-Shirt,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,2024 Tour Koala T-Shirt,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,2024 Tour Koala T-Shirt,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
